competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,company,color
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,Hershey,orange
Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,Hershey,orange
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,Mars,brown
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,Nestlé,red
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,Mars,brown
Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,Hershey,orange
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,Mars,brown
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,Hershey,orange
Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,Mars,red
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,Nestlé,yellow
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,Mars,yellow
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,Mars,silver
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,Mars,all
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,Nestlé,red
M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,Mars,all
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,Nestlé,blue
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,Hershey,brown
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,Mars,yellow
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,Mars,all
Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,Hershey,red
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,Mars,brown
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,Jaret International,yellow
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,Mars,blue
Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,Hershey,brown
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,Tootsie Roll,white
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,Haribo,all
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,Ferrara,blue
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,Hershey,brown
Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,Hershey,silver
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,Nestlé,purple
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,Mars,all
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,Hershey,orange
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,Malaco,red
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,Hershey,yellow
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,Mars,blue
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,Jaret International,yellow
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,Perfetti Van Melle,blue
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,Haribo,all
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,Hershey,blue
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,Tootsie Roll,brown
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,Hershey,brown
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,Tootsie Roll,all
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,Hershey,brown
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,Ferrara,green
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,Nestlé,all
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,Just Born,green
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,Hershey,yellow
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,NA,gold
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,Smarties,red
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,Tootsie Roll,brown
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,Hershey,red
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,Welch,all
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,Leaf Brands,all
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,Tootsie Roll,brown
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,Nestlé,all
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,Tootsie Roll,all
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,Haribo,green
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,August Storck KG,orange
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,Nestlé,all
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,Zeta Espacial S.A.,all
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,Spangler,red
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,Ferrara,all
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,Nestlé,all
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,Ferrara,yellow
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,Impact,green
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,Tootsie Roll,all
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,Jelly Belly,orange
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,Nestlé,all
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,Nestlé,all
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,American Licorice,red
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,Ferrara,all
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,Topps,all
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,Oak Leaf,all
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,Ferrara,red
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,Tootsie Roll,red
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,Haribo,red
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,Tootsie Roll,yellow
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,Mondelez,red
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,Tootsie Roll,yellow
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,Quality Candy,brown
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,Ferrara,all
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,Ferrara,blue
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,Mondelez,red
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,Ferrara,red
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,Tootsie Roll,all
